year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2004,5,157,D.J. Hackett,https://www.pro-football-reference.com/players/H/HackD.00.htm,WR,23,SEA,2005,2008,0,0,0,14,42,16,,,,118,1575,9,Colorado,https://www.sports-reference.com/cfb/players/dj-hackett-1.html,Colorado,Big 12,SR,WR,25.0,96,1224,12.8,11,1,-9,-9.0,0,97,1215,12.5,11,27,CAR,wr,18,42,16,184,118,1575,13.3,9,73,59,2.8,37.5,64.1%,8.6,,,,,,,,,118,13.3,1575,9,1,15,Receiving & Rushing Table,success,success from main
2004,5,163,Drew Carter,https://www.pro-football-reference.com/players/C/CartDr00.htm,WR,23,CAR,2005,2007,0,0,0,8,33,9,2,18,0,71,977,8,Ohio St.,https://www.sports-reference.com/cfb/players/drew-carter-1.html,Ohio State,Big Ten,SR,WR,32.0,41,632,15.4,1,2,13,6.5,0,43,645,15.0,1,26,CAR,wr,18,33,9,141,71,977,13.8,8,46,49,2.2,29.6,50.4%,6.9,2,18,0,1,11,9.0,0.5,0.1,73,13.6,995,8,0,8,Receiving & Rushing Table,success,success from main
2004,5,164,P.K. Sam,https://www.pro-football-reference.com/players/S/SamxP.20.htm,WR,20,NWE,2004,2004,0,0,0,0,2,0,,,,,,,Florida St.,https://www.sports-reference.com/cfb/players/pk-sam-1.html,Florida State,ACC,JR,WR,35.0,76,1066,14.0,7,3,7,2.3,0,79,1073,13.6,7,21,NWE,,14,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,Games Table,success,success from main
2004,6,168,Jamaar Taylor,https://www.pro-football-reference.com/players/T/TaylJa00.htm,WR,23,NYG,2004,2005,0,0,0,1,13,0,1,-8,0,6,146,0,Texas A&M,https://www.sports-reference.com/cfb/players/jamaar-taylor-1.html,Texas A&M,Big 12,SR,WR,26.0,108,1705,15.8,10,5,28,5.6,0,113,1733,15.3,10,24,NYG,,86,13,,18,6,146,24.3,0,4,52,0.5,11.2,33.3%,8.1,1,-8,0,0,0,-8.0,-0.6,0.1,7,19.7,138,0,0,1,Receiving & Rushing Table,success,success from main
2004,6,171,Triandos Luke,https://www.pro-football-reference.com/players/L/LukeTr00.htm,WR,22,DEN,2004,2004,0,0,0,0,10,0,,,,6,52,0,Alabama,https://www.sports-reference.com/cfb/players/triandos-luke-1.html,Alabama,SEC,SR,WR,44.0,90,1072,11.9,9,2,4,2.0,0,92,1076,11.7,9,23,DEN,,10,10,,19,135,0,21,7.1,15,306,0,32,20.4,493,0,,,,,,,,,,,,,,Kick & Punt Returns Table,success,success from main
2004,6,195,Jeris McIntyre,nfl link is missing,WR,,KAN,,,0,0,0,,,,,,,,,,Auburn,https://www.sports-reference.com/cfb/players/jeris-mcintyre-1.html,Auburn,SEC,SR,WR,46.0,69,973,14.1,4,1,31,31.0,0,70,1004,14.3,4,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2004,6,199,Clarence Moore,https://www.pro-football-reference.com/players/M/MoorCl00.htm,WR,21,BAL,2004,2006,0,0,0,2,29,8,,,,29,353,5,Northern Arizona,https://www.sports-reference.com/cfb/players/clarence-moore-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,24,BAL,wr,84,29,8,83,29,353,12.2,5,22,52,1.0,12.2,34.9%,4.3,,,,,,,,,29,12.2,353,5,0,2,Receiving & Rushing Table,fail (eg link broken),success from main
2004,7,206,Mark Jones,https://www.pro-football-reference.com/players/J/JoneMa01.htm,WR,23,TAM,2004,2009,0,0,0,0,62,0,,,,3,41,0,Tennessee,https://www.sports-reference.com/cfb/players/mark-jones-1.html,Tennessee,SEC,SR,WR,38.0,46,543,11.8,1,5,138,27.6,1,,,,,29,TEN,,84,62,,159,1483,0,55,9.3,71,1669,0,59,23.5,3193,0,,,,,,,,,,,,,,Kick & Punt Returns Table,success,success from main
2004,7,211,Sloan Thomas,https://www.pro-football-reference.com/players/T/ThomSl00.htm,WR,22,HOU,2005,2005,0,0,0,0,1,0,,,,,,,Texas,https://www.sports-reference.com/cfb/players/sloan-thomas-1.html,Texas,Big 12,SR,WR,46.0,88,1362,15.5,12,2,21,10.5,0,90,1383,15.4,12,24,TEN,,16,1,,,,,,,,,,,,0.0,2,2,0,0,,,0,,,,,,,,Defense & Fumbles Table,success,success from main
2004,7,214,Jonathan Smith,https://www.pro-football-reference.com/players/S/SmitJo00.htm,WR,22,BUF,2004,2006,0,0,0,2,18,1,3,12,0,8,77,1,Georgia Tech,https://www.sports-reference.com/cfb/players/jonathan-smith-1.html,Georgia Tech,ACC,SR,WR,45.0,174,2238,12.9,12,37,194,5.2,1,211,2432,11.5,13,25,NWE,,81,18,1,15,198,1,70,13.2,6,152,0,44,25.3,439,2,,,,,,,,,,,,,,Kick & Punt Returns Table,success,success from main
