year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2016,4,117,Pharoh Cooper,https://www.pro-football-reference.com/players/C/CoopPh00.htm,WR,21.0,LAR,2016.0,2019.0,1,1,0,5.0,46.0,5.0,2.0,8.0,0.0,50.0,433.0,1.0,South Carolina,https://www.sports-reference.com/cfb/players/pharoh-cooper-1.html,South Carolina,SEC,JR,WR,34.0,138,2163,15.7,18,71,513,7.2,4,209,2676,12.8,22,,ARI,wr,12,46,5,73,50,433,8.7,1,19,28,1.1,9.4,68.5%,5.9,2,8,0,1,6,4.0,0.2,0.0,52,8.5,441,1,4,,Receiving & Rushing Table,success,success from main1
2016,4,126,Demarcus Robinson,https://www.pro-football-reference.com/players/R/RobiDe01.htm,WR,21.0,KAN,2016.0,2019.0,0,0,2,10.0,64.0,23.0,,,,75.0,949.0,8.0,Florida,https://www.sports-reference.com/cfb/players/demarcus-robinson-3.html,Florida,SEC,JR,WR,27.0,105,1353,12.9,9,3,6,2.0,0,108,1359,12.6,9,25,KAN,WR,11,64,23,127,75,949,12.7,8,44,89,1.2,14.8,59.1%,7.5,,,,,,,,,75,12.7,949,8,0,10,Receiving & Rushing Table,success,success from main
2016,5,140,Tajae Sharpe,https://www.pro-football-reference.com/players/S/SharTa00.htm,WR,21.0,TEN,2016.0,2019.0,0,0,2,11.0,47.0,29.0,2.0,17.0,0.0,92.0,1167.0,8.0,Massachusetts,https://www.sports-reference.com/cfb/players/tajae-sharpe-1.html,Massachusetts,MAC,SR,WR,47.0,277,3486,12.6,16,4,11,2.8,0,281,3497,12.4,16,25,TEN,wr,19,47,29,165,92,1167,12.7,8,69,47,2.0,24.8,55.8%,7.1,2,17,0,1,16,8.5,0.4,0.0,94,12.6,1184,8,0,11,Receiving & Rushing Table,success,success from main
2016,5,154,Jordan Payton,https://www.pro-football-reference.com/players/P/PaytJo00.htm,WR,23.0,CLE,2016.0,2016.0,0,0,0,0.0,4.0,0.0,,,,1.0,3.0,0.0,UCLA,https://www.sports-reference.com/cfb/players/jordan-payton-1.html,UCLA,Pac-12,SR,WR,51.0,201,2701,13.4,14,0,0,,0,201,2701,13.4,14,23,CLE,,84,4,,3,1,3,3.0,0,0,3,0.3,0.8,33.3%,1.0,,,,,,,,,1,3.0,3,0,0,0,Receiving & Rushing Table,success,success from main
2016,5,163,Trevor Davis,https://www.pro-football-reference.com/players/D/DaviTr03.htm,WR,23.0,GNB,2016.0,2019.0,0,0,0,2.0,43.0,4.0,6.0,86.0,1.0,16.0,205.0,1.0,California,https://www.sports-reference.com/cfb/players/trevor-davis-1.html,California,Pac-12,SR,WR,37.0,109,1672,15.3,12,4,3,0.8,0,113,1675,14.8,12,,OAK,wr,11,43,4,25,16,205,12.8,1,8,29,0.4,4.8,64.0%,8.2,6,86,1,2,60,14.3,2.0,0.1,22,13.2,291,2,5,,Receiving & Rushing Table,success,success from main1
2016,5,165,Tyreek Hill,https://www.pro-football-reference.com/players/H/HillTy00.htm,WR,22.0,KAN,2016.0,2019.0,2,4,3,47.0,59.0,42.0,71.0,500.0,4.0,281.0,4115.0,32.0,West Alabama,https://www.sports-reference.com/cfb/players/tyreek-hill-1.html,Oklahoma State,Big 12,JR,UT,12.0,102,534,5.2,1,31,281,9.1,1,133,815,6.1,2,25,KAN,WR,10,59,42,414,281,4115,14.6,32,176,79,4.8,69.7,67.9%,9.9,71,500,4,23,70,7.0,8.5,1.2,352,13.1,4615,36,6,50,Receiving & Rushing Table,success,success from main
2016,5,172,Rashard Higgins,https://www.pro-football-reference.com/players/H/HiggRa00.htm,WR,21.0,CLE,2016.0,2019.0,0,0,0,6.0,54.0,6.0,1.0,4.0,0.0,76.0,1016.0,7.0,Colorado St.,https://www.sports-reference.com/cfb/players/rashard-higgins-1.html,Colorado State,MWC,JR,WR,38.0,238,3648,15.3,31,2,21,10.5,0,240,3669,15.3,31,25,CLE,wr,81,54,6,126,76,1016,13.4,7,48,56,1.4,18.8,60.3%,8.1,1,4,0,0,4,4.0,0.1,0.0,77,13.2,1020,7,3,6,Receiving & Rushing Table,success,success from main
2016,6,180,Moritz Boehringer,https://www.pro-football-reference.com/players/B/BoehMo00.htm,WR,22.0,MIN,,,0,0,0,,,,,,,,,,,https://www.sports-reference.com/cfb/players/moritz-boehringer-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail (eg link broken),fail (eg link broken)
2016,6,186,Jakeem Grant,https://www.pro-football-reference.com/players/G/GranJa00.htm,WR,23.0,MIA,2016.0,2019.0,0,0,0,9.0,52.0,4.0,9.0,23.0,1.0,53.0,635.0,4.0,Texas Tech,https://www.sports-reference.com/cfb/players/jakeem-grant-1.html,Texas Tech,Big 12,SR,WR,49.0,254,3286,12.9,27,33,199,6.0,2,287,3485,12.1,29,27,MIA,wr,19,52,4,90,53,635,12.0,4,31,65,1.0,12.2,58.9%,7.1,9,23,1,1,7,2.6,0.4,0.2,62,10.6,658,5,8,,Receiving & Rushing Table,success,success from main1
2016,6,192,Kolby Listenbee,https://www.pro-football-reference.com/players/L/ListKo00.htm,WR,22.0,BUF,,,0,0,0,,,,,,,,,,TCU,https://www.sports-reference.com/cfb/players/kolby-listenbee-1.html,Texas Christian,Big 12,SR,WR,34.0,74,1432,19.4,9,3,30,10.0,0,77,1462,19.0,9,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2016,6,199,Cody Core,https://www.pro-football-reference.com/players/C/CoreCo00.htm,WR,22.0,CIN,2016.0,2019.0,0,0,0,3.0,51.0,7.0,,,,33.0,388.0,1.0,Mississippi,https://www.sports-reference.com/cfb/players/cody-core-1.html,Ole Miss,SEC,SR,WR,44.0,83,1297,15.6,10,5,87,17.4,0,88,1384,15.7,10,25,NYG,,17,51,7,64,33,388,11.8,1,16,50,0.6,7.6,51.6%,6.1,,,,,,,,,33,11.8,388,1,0,3,Receiving & Rushing Table,success,success from main
2016,6,206,Mike Thomas,https://www.pro-football-reference.com/players/T/ThomMi04.htm,WR,22.0,LAR,2016.0,2019.0,0,0,0,1.0,40.0,1.0,,,,10.0,144.0,0.0,Southern Miss,https://www.sports-reference.com/cfb/players/michael-thomas-6.html,Southern Mississippi,CUSA,SR,WR,25.0,112,1983,17.7,19,0,0,,0,112,1983,17.7,19,25,LAR,,88,40,1,21,10,144,14.4,0,7,50,0.3,3.6,47.6%,6.9,,,,,,,,,10,14.4,144,0,2,1,Receiving & Rushing Table,success,success from main
2016,6,213,Aaron Burbridge,https://www.pro-football-reference.com/players/B/BurbAa00.htm,WR,22.0,SFO,2016.0,2016.0,0,0,0,1.0,16.0,3.0,,,,7.0,88.0,0.0,Michigan St.,https://www.sports-reference.com/cfb/players/aaron-burbridge-1.html,Michigan State,Big Ten,SR,WR,46.0,165,2174,13.2,10,22,149,6.8,0,187,2323,12.4,10,23,SFO,wr,13,16,3,16,7,88,12.6,0,5,24,0.4,5.5,43.8%,5.5,,,,,,,,,7,12.6,88,0,1,1,Receiving & Rushing Table,success,success from main
2016,7,225,Devin Lucien,https://www.pro-football-reference.com/players/L/LuciDe00.htm,WR,23.0,NWE,,,0,0,0,,,,,,,,,,Arizona St.,https://www.sports-reference.com/cfb/players/devin-lucien-1.html,Arizona State,Pac-12,SR,WR,42.0,124,1826,14.7,12,2,37,18.5,0,126,1863,14.8,12,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
