cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle,yardsfirst5seasons
SEC,SR,50.0,153.0,2098.0,13.7,9.0,13.0,137.0,10.5,0.0,166.0,2235.0,13.5,9.0,74.0,204.0,4.5,36.0,,122.0,7.22,4.28,136.0
Pac-10,SR,21.0,47.0,605.0,12.9,5.0,1.0,22.0,22.0,0.0,48.0,627.0,13.1,5.0,76.0,217.0,4.49,,,,,,5.0
SEC,SR,51.0,151.0,2236.0,14.8,21.0,0.0,0.0,0.0,0.0,151.0,2236.0,14.8,21.0,75.0,208.0,4.53,36.0,,129.0,6.69,4.19,6.0
WAC,SR,46.0,103.0,1566.0,15.2,13.0,15.0,100.0,6.7,0.0,118.0,1666.0,14.1,13.0,,,,,,,,,126.0
Sun Belt,SR,21.0,128.0,1534.0,12.0,3.0,5.0,16.0,3.2,0.0,133.0,1550.0,11.7,3.0,71.0,184.0,4.42,32.5,,123.0,6.99,4.29,0.0
Pac-10,SR,44.0,131.0,1584.0,12.1,6.0,19.0,140.0,7.4,0.0,150.0,1724.0,11.5,6.0,69.0,194.0,4.59,33.0,17.0,,,,182.0
ACC,SR,38.0,141.0,1760.0,12.5,7.0,48.0,261.0,5.4,2.0,189.0,2021.0,10.7,9.0,71.0,197.0,4.56,35.0,,120.0,6.91,4.14,1341.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,119.0
WAC,SR,46.0,85.0,1426.0,16.8,6.0,11.0,112.0,10.2,2.0,96.0,1538.0,16.0,8.0,72.0,191.0,4.45,35.5,15.0,120.0,7.12,4.4,0.0
Big Ten,SR,36.0,140.0,2295.0,16.4,25.0,3.0,18.0,6.0,0.0,143.0,2313.0,16.2,25.0,71.0,188.0,4.35,,,,,,4581.0
SEC,JR,37.0,120.0,1586.0,13.2,16.0,17.0,90.0,5.3,2.0,137.0,1676.0,12.2,18.0,73.0,213.0,4.32,38.5,,122.0,6.73,3.97,171.0
ACC,SR,48.0,68.0,1106.0,16.3,9.0,9.0,59.0,6.6,0.0,77.0,1165.0,15.1,9.0,68.0,185.0,4.38,,,,,,421.0
MAC,SR,42.0,238.0,3539.0,14.9,39.0,18.0,92.0,5.1,0.0,256.0,3631.0,14.2,39.0,71.0,197.0,4.42,36.5,,117.0,6.68,4.16,5222.0
Big 12,SR,44.0,105.0,1315.0,12.5,17.0,3.0,66.0,22.0,1.0,108.0,1381.0,12.8,18.0,74.0,214.0,4.47,36.5,,120.0,6.7,3.99,32.0
Pac-10,SR,50.0,258.0,3939.0,15.3,27.0,0.0,0.0,0.0,0.0,258.0,3939.0,15.3,27.0,74.0,208.0,4.45,36.0,,124.0,,4.07,696.0
Big Ten,SR,52.0,202.0,2924.0,14.5,10.0,19.0,118.0,6.2,0.0,221.0,3042.0,13.8,10.0,69.0,179.0,4.48,34.5,,115.0,6.87,4.07,0.0
Ind,SR,46.0,130.0,2195.0,16.9,18.0,2.0,1.0,0.5,0.0,132.0,2196.0,16.6,18.0,76.0,217.0,4.57,35.0,,122.0,6.81,4.14,660.0
ACC,SR,45.0,91.0,1046.0,11.5,3.0,63.0,309.0,4.9,3.0,154.0,1355.0,8.8,6.0,70.0,188.0,4.34,37.5,,117.0,7.06,4.26,54.0
Big Ten,SR,45.0,52.0,629.0,12.1,3.0,369.0,1637.0,4.4,20.0,421.0,2266.0,5.4,23.0,73.0,227.0,4.57,,,,,,383.0
MWC,JR,36.0,150.0,2111.0,14.1,17.0,46.0,115.0,2.5,10.0,196.0,2226.0,11.4,27.0,72.0,188.0,4.58,33.5,,110.0,7.37,4.19,0.0
Big Ten,SR,47.0,169.0,2247.0,13.3,13.0,0.0,0.0,0.0,0.0,169.0,2247.0,13.3,13.0,72.0,212.0,4.62,37.0,20.0,118.0,,,1872.0
Pac-10,SR,45.0,162.0,2660.0,16.4,20.0,12.0,76.0,6.3,1.0,174.0,2736.0,15.7,21.0,74.0,197.0,4.52,38.0,,127.0,6.84,4.08,1008.0
CUSA,SR,44.0,112.0,1674.0,14.9,13.0,3.0,5.0,1.7,0.0,115.0,1679.0,14.6,13.0,76.0,229.0,4.52,37.0,,120.0,,,5033.0
SEC,SR,44.0,111.0,1129.0,10.2,9.0,31.0,258.0,8.3,1.0,142.0,1387.0,9.8,10.0,69.0,192.0,4.53,34.0,,118.0,,,33.0
MAC,SR,36.0,141.0,2092.0,14.8,14.0,1.0,24.0,24.0,0.0,142.0,2116.0,14.9,14.0,,,,,,,,,793.0
ACC,SR,51.0,30.0,273.0,9.1,0.0,239.0,902.0,3.8,11.0,269.0,1175.0,4.4,11.0,69.0,202.0,4.67,35.0,,114.0,7.03,4.38,115.0
Pac-10,SR,36.0,220.0,3924.0,17.8,20.0,2.0,18.0,9.0,0.0,222.0,3942.0,17.8,20.0,73.0,208.0,4.59,32.0,,116.0,6.97,4.14,0.0
Big Ten,SR,52.0,107.0,1824.0,17.0,19.0,0.0,0.0,0.0,0.0,107.0,1824.0,17.0,19.0,74.0,198.0,4.44,35.5,,119.0,7.31,4.16,0.0
Other,Non Declared,,,,,,,,,,,,,,73.0,240.0,4.49,36.5,,118.0,,,923.0
WAC,SR,52.0,89.0,986.0,11.1,9.0,48.0,337.0,7.0,3.0,137.0,1323.0,9.7,12.0,69.0,181.0,4.44,37.5,,118.0,6.88,4.12,62.0
MWC,Non Declared,44.0,234.0,2890.0,12.4,20.0,2.0,16.0,8.0,0.0,236.0,2906.0,12.3,20.0,74.0,211.0,4.4,37.0,,126.0,6.81,4.08,382.0
Big Ten,SR,,,,,,,,,,,,,,,,,,,,,,0.0
MWC,SR,23.0,101.0,1720.0,17.0,15.0,1.0,-4.0,-4.0,0.0,102.0,1716.0,16.8,15.0,74.0,202.0,4.4,36.0,15.0,118.0,7.13,4.24,90.0
SEC,SR,38.0,17.0,340.0,20.0,3.0,0.0,0.0,0.0,0.0,17.0,340.0,20.0,3.0,,,,,,,,,0.0
SEC,SR,51.0,71.0,1333.0,18.8,9.0,1.0,6.0,6.0,0.0,72.0,1339.0,18.6,9.0,74.0,201.0,4.35,39.0,,120.0,7.04,4.16,1193.0
SEC,SR,51.0,97.0,1313.0,13.5,18.0,8.0,154.0,19.3,2.0,105.0,1467.0,14.0,20.0,73.0,205.0,4.45,38.0,,116.0,7.17,4.21,1209.0
MWC,SR,46.0,223.0,3634.0,16.3,20.0,4.0,18.0,4.5,0.0,227.0,3652.0,16.1,20.0,70.0,192.0,4.57,34.0,,116.0,6.88,4.2,886.0
Other,Non Declared,,,,,,,,,,,,,,77.0,224.0,4.5,37.0,16.0,123.0,6.94,4.43,5097.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Big Ten,SR,44.0,252.0,3541.0,14.1,39.0,10.0,72.0,7.2,0.0,262.0,3613.0,13.8,39.0,75.0,211.0,4.45,,,,,,4238.0
SEC,JR,34.0,91.0,1754.0,19.3,13.0,12.0,101.0,8.4,0.0,103.0,1855.0,18.0,13.0,73.0,203.0,4.32,,,,6.99,,1131.0
Pac-10,SO,26.0,176.0,2579.0,14.7,30.0,5.0,35.0,7.0,0.0,181.0,2614.0,14.4,30.0,77.0,229.0,4.56,36.5,,,,,629.0
SEC,SR,46.0,4.0,58.0,14.5,0.0,382.0,2535.0,6.6,24.0,386.0,2593.0,6.7,24.0,78.0,242.0,4.37,39.5,,129.0,,,2153.0
Big 12,SR,51.0,220.0,3236.0,14.7,31.0,14.0,82.0,5.9,0.0,234.0,3318.0,14.2,31.0,70.0,193.0,4.41,36.5,,118.0,6.95,4.07,3116.0
CUSA,SR,45.0,163.0,3112.0,19.1,26.0,1.0,17.0,17.0,0.0,164.0,3129.0,19.1,26.0,73.0,207.0,4.46,,,,,,4689.0
SEC,SR,52.0,144.0,2008.0,13.9,12.0,11.0,87.0,7.9,0.0,155.0,2095.0,13.5,12.0,74.0,196.0,4.45,41.5,,128.0,6.99,3.94,2574.0
Big 12,SR,25.0,34.0,685.0,20.1,9.0,4.0,73.0,18.3,1.0,38.0,758.0,19.9,10.0,73.0,201.0,4.37,39.5,,128.0,6.96,3.98,963.0
ACC,JR,36.0,86.0,1355.0,15.8,12.0,19.0,186.0,9.8,1.0,105.0,1541.0,14.7,13.0,70.0,168.0,4.37,,,,,,1086.0
Big 12,SR,45.0,172.0,2600.0,15.1,10.0,17.0,209.0,12.3,1.0,189.0,2809.0,14.9,11.0,73.0,202.0,4.39,,,,,,36.0
Other,Non Declared,,,,,,,,,,,,,,77.0,241.0,4.46,39.0,,,,,3400.0
Big Ten,SR,45.0,170.0,2524.0,14.8,12.0,31.0,207.0,6.7,2.0,201.0,2731.0,13.6,14.0,72.0,189.0,4.41,36.5,,126.0,6.6,3.94,323.0
Big East,JR,23.0,93.0,1878.0,20.2,22.0,1.0,2.0,2.0,0.0,94.0,1880.0,20.0,22.0,76.0,197.0,4.5,,,,,,1826.0
Big 12,SR,46.0,82.0,1187.0,14.5,14.0,1.0,0.0,0.0,0.0,83.0,1187.0,14.3,14.0,73.0,210.0,4.42,37.0,,114.0,7.03,4.08,1398.0
Other,Non Declared,,,,,,,,,,,,,,71.0,181.0,4.28,35.5,,123.0,,,80.0
ACC,SR,47.0,123.0,2153.0,17.5,18.0,6.0,13.0,2.2,0.0,129.0,2166.0,16.8,18.0,73.0,188.0,4.38,,,,,,70.0
Pac-10,SR,34.0,54.0,1089.0,20.2,9.0,2.0,18.0,9.0,0.0,56.0,1107.0,19.8,9.0,75.0,217.0,4.5,,,,,,0.0
SEC,SR,45.0,161.0,2884.0,17.9,20.0,5.0,32.0,6.4,0.0,166.0,2916.0,17.6,20.0,76.0,196.0,4.55,38.5,,126.0,7.03,4.1,0.0
CUSA,SR,48.0,215.0,3207.0,14.9,35.0,3.0,-15.0,-5.0,0.0,218.0,3192.0,14.6,35.0,,,,,,,,,1248.0
ACC,SR,45.0,137.0,2025.0,14.8,10.0,14.0,26.0,1.9,0.0,151.0,2051.0,13.6,10.0,70.0,186.0,4.49,38.0,,125.0,7.05,4.07,0.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Big East,SR,39.0,2.0,22.0,11.0,0.0,452.0,1863.0,4.1,24.0,454.0,1885.0,4.2,24.0,72.0,185.0,4.51,38.0,,121.0,6.81,3.95,-1.0
WAC,SR,44.0,239.0,3031.0,12.7,29.0,9.0,62.0,6.9,1.0,248.0,3093.0,12.5,30.0,67.0,183.0,4.62,37.0,,116.0,6.7,3.94,0.0
Pac-10,SR,42.0,84.0,1547.0,18.4,6.0,3.0,20.0,6.7,1.0,87.0,1567.0,18.0,7.0,74.0,229.0,4.46,34.0,,116.0,7.0,,109.0
MAC,JR,35.0,238.0,3030.0,12.7,22.0,2.0,-5.0,-2.5,1.0,240.0,3025.0,12.6,23.0,,,,,,,,,26.0
Pac-10,SR,46.0,193.0,2845.0,14.7,19.0,16.0,151.0,9.4,2.0,209.0,2996.0,14.3,21.0,73.0,196.0,4.46,36.0,,,,,0.0
Pac-10,SR,18.0,36.0,401.0,11.1,2.0,0.0,0.0,0.0,0.0,36.0,401.0,11.1,2.0,,,,,,,,,5.0
MWC,SR,23.0,156.0,1885.0,12.1,16.0,48.0,281.0,5.9,3.0,204.0,2166.0,10.6,19.0,72.0,219.0,4.71,31.5,,,,,63.0
Other,Non Declared,,,,,,,,,,,,,,73.0,211.0,4.4,37.0,,120.0,7.19,4.21,191.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,75.0,206.0,4.56,34.5,,,,,0.0
Big East,SO,26.0,161.0,2677.0,16.6,34.0,1.0,7.0,7.0,0.0,162.0,2684.0,16.6,34.0,75.0,225.0,4.48,,,,,,5975.0
Big 12,SR,48.0,241.0,3866.0,16.0,36.0,16.0,243.0,15.2,3.0,257.0,4109.0,16.0,39.0,74.0,212.0,4.48,,,,,,4082.0
Pac-10,JR,36.0,238.0,3536.0,14.9,22.0,3.0,11.0,3.7,0.0,241.0,3547.0,14.7,22.0,76.0,229.0,4.56,,,,,,2322.0
Big Ten,SR,44.0,175.0,3468.0,19.8,27.0,4.0,26.0,6.5,0.0,179.0,3494.0,19.5,27.0,71.0,197.0,4.39,34.5,,120.0,,,4744.0
SEC,JR,39.0,182.0,2582.0,14.2,21.0,6.0,63.0,10.5,1.0,188.0,2645.0,14.1,22.0,75.0,209.0,4.67,32.5,,116.0,6.77,4.09,2706.0
Big Ten,SR,38.0,157.0,2746.0,17.5,16.0,0.0,0.0,0.0,0.0,157.0,2746.0,17.5,16.0,76.0,218.0,4.4,,,,,,2372.0
Big 12,SR,48.0,293.0,4414.0,15.1,42.0,0.0,0.0,0.0,0.0,293.0,4414.0,15.1,42.0,74.0,202.0,4.47,39.0,,125.0,6.93,3.97,160.0
SEC,SR,42.0,81.0,1335.0,16.5,19.0,83.0,433.0,5.2,3.0,164.0,1768.0,10.8,22.0,71.0,198.0,4.41,,,,,,2290.0
MAC,SR,47.0,272.0,4031.0,14.8,47.0,21.0,188.0,9.0,0.0,293.0,4219.0,14.4,47.0,73.0,188.0,4.5,,,,,,407.0
Pac-10,SR,50.0,207.0,2964.0,14.3,19.0,6.0,74.0,12.3,1.0,213.0,3038.0,14.3,20.0,73.0,207.0,4.6,30.0,,,,,1540.0
ACC,JR,37.0,163.0,2218.0,13.6,15.0,42.0,340.0,8.1,2.0,205.0,2558.0,12.5,17.0,75.0,196.0,4.54,,,,,,0.0
WAC,SR,46.0,191.0,2682.0,14.0,23.0,21.0,264.0,12.6,2.0,212.0,2946.0,13.9,25.0,73.0,183.0,4.58,38.0,,128.0,7.34,4.18,3161.0
Pac-10,JR,30.0,106.0,1666.0,15.7,19.0,5.0,45.0,9.0,1.0,111.0,1711.0,15.4,20.0,73.0,213.0,4.52,37.0,,129.0,,,578.0
Big 12,SR,49.0,216.0,3031.0,14.0,21.0,15.0,89.0,5.9,1.0,231.0,3120.0,13.5,22.0,69.0,198.0,4.33,38.5,,114.0,6.97,4.06,0.0
Pac-10,SR,50.0,178.0,2761.0,15.5,19.0,10.0,67.0,6.7,0.0,188.0,2828.0,15.0,19.0,70.0,179.0,4.39,36.0,,,,,1529.0
ACC,SR,48.0,200.0,3119.0,15.6,21.0,18.0,102.0,5.7,1.0,218.0,3221.0,14.8,22.0,72.0,212.0,4.54,36.0,,121.0,6.93,3.91,3260.0
Big East,SR,49.0,126.0,2052.0,16.3,11.0,0.0,0.0,0.0,0.0,126.0,2052.0,16.3,11.0,76.0,226.0,4.79,40.5,,130.0,,4.17,2019.0
Big East,SR,32.0,88.0,1535.0,17.4,7.0,6.0,34.0,5.7,1.0,94.0,1569.0,16.7,8.0,76.0,229.0,4.51,41.0,,130.0,7.34,4.22,90.0
WAC,SR,20.0,53.0,827.0,15.6,5.0,4.0,8.0,2.0,0.0,57.0,835.0,14.6,5.0,73.0,191.0,4.57,34.0,,118.0,,,0.0
Big 12,SR,25.0,96.0,1224.0,12.8,11.0,1.0,-9.0,-9.0,0.0,97.0,1215.0,12.5,11.0,74.0,199.0,4.53,41.0,,131.0,6.79,4.08,1575.0
Big Ten,SR,32.0,41.0,632.0,15.4,1.0,2.0,13.0,6.5,0.0,43.0,645.0,15.0,1.0,76.0,204.0,4.36,,,,,,977.0
ACC,JR,35.0,76.0,1066.0,14.0,7.0,3.0,7.0,2.3,0.0,79.0,1073.0,13.6,7.0,75.0,210.0,4.54,34.5,,,7.04,,0.0
Big 12,SR,26.0,108.0,1705.0,15.8,10.0,5.0,28.0,5.6,0.0,113.0,1733.0,15.3,10.0,73.0,197.0,4.46,,,,,,146.0
SEC,SR,44.0,90.0,1072.0,11.9,9.0,2.0,4.0,2.0,0.0,92.0,1076.0,11.7,9.0,71.0,199.0,4.51,38.0,,124.0,7.06,4.17,52.0
SEC,SR,46.0,69.0,973.0,14.1,4.0,1.0,31.0,31.0,0.0,70.0,1004.0,14.3,4.0,71.0,203.0,4.46,29.0,,112.0,6.98,4.08,0.0
Other,Non Declared,,,,,,,,,,,,,,78.0,211.0,4.55,34.0,,122.0,6.84,4.16,353.0
SEC,SR,38.0,36.0,556.0,15.4,5.0,7.0,65.0,9.3,0.0,43.0,621.0,14.4,5.0,,,,,,,,,41.0
Big 12,SR,46.0,88.0,1362.0,15.5,12.0,2.0,21.0,10.5,0.0,90.0,1383.0,15.4,12.0,73.0,203.0,4.5,,,,,,0.0
ACC,SR,45.0,174.0,2238.0,12.9,12.0,37.0,194.0,5.2,1.0,211.0,2432.0,11.5,13.0,70.0,194.0,4.78,32.5,,114.0,,4.35,77.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,2266.0
SEC,SR,46.0,197.0,2339.0,11.9,18.0,15.0,160.0,10.7,0.0,212.0,2499.0,11.8,18.0,69.0,179.0,4.58,33.5,,120.0,6.89,4.08,0.0
Big Ten,JR,24.0,135.0,2821.0,20.9,27.0,10.0,110.0,11.0,1.0,145.0,2931.0,20.2,28.0,74.0,202.0,4.4,,,,,,440.0
Big East,JR,34.0,92.0,1831.0,19.9,20.0,2.0,11.0,5.5,0.0,94.0,1842.0,19.6,20.0,74.0,230.0,4.41,39.0,,132.0,,,4804.0
Big Ten,SR,47.0,110.0,2008.0,18.3,10.0,4.0,5.0,1.3,0.0,114.0,2013.0,17.7,10.0,74.0,214.0,4.57,,,,,,2675.0
SEC,SR,44.0,133.0,2097.0,15.8,16.0,10.0,81.0,8.1,1.0,143.0,2178.0,15.2,17.0,72.0,205.0,4.42,,,,,,384.0
Big 12,SR,35.0,117.0,1740.0,14.9,11.0,8.0,55.0,6.9,1.0,125.0,1795.0,14.4,12.0,71.0,201.0,4.38,38.5,,127.0,,,606.0
ACC,SR,36.0,118.0,1790.0,15.2,21.0,26.0,127.0,4.9,1.0,144.0,1917.0,13.3,22.0,73.0,216.0,4.72,33.5,,114.0,7.35,4.33,5458.0
Sun Belt,SR,45.0,194.0,2636.0,13.6,17.0,14.0,55.0,3.9,1.0,208.0,2691.0,12.9,18.0,76.0,223.0,4.34,38.0,,127.0,6.73,4.26,501.0
SEC,SO,16.0,87.0,1453.0,16.7,6.0,1.0,10.0,10.0,0.0,88.0,1463.0,16.6,6.0,74.0,223.0,4.42,,,,,,893.0
WAC,SR,33.0,248.0,3287.0,13.3,22.0,27.0,190.0,7.0,1.0,275.0,3477.0,12.6,23.0,72.0,197.0,4.51,42.5,,126.0,6.96,4.16,2675.0
Ind,SR,22.0,174.0,2789.0,16.0,19.0,9.0,46.0,5.1,1.0,183.0,2835.0,15.5,20.0,71.0,186.0,4.42,36.0,,122.0,6.76,3.99,2824.0
ACC,SR,48.0,210.0,2978.0,14.2,24.0,7.0,37.0,5.3,1.0,217.0,3015.0,13.9,25.0,76.0,210.0,4.61,,,,,,725.0
Pac-10,JR,37.0,156.0,2867.0,18.4,24.0,14.0,63.0,4.5,1.0,170.0,2930.0,17.2,25.0,68.0,169.0,4.43,,,,,,2158.0
Big Ten,JR,35.0,155.0,2527.0,16.3,19.0,12.0,55.0,4.6,0.0,167.0,2582.0,15.5,19.0,72.0,184.0,4.62,36.0,,,,,1889.0
ACC,SR,46.0,146.0,2195.0,15.0,15.0,7.0,33.0,4.7,0.0,153.0,2228.0,14.6,15.0,74.0,209.0,4.59,39.5,,121.0,7.22,,250.0
Pac-10,SR,45.0,230.0,3351.0,14.6,23.0,12.0,53.0,4.4,0.0,242.0,3404.0,14.1,23.0,70.0,193.0,4.66,34.5,,115.0,7.01,4.11,858.0
Big 12,SR,37.0,200.0,2704.0,13.5,18.0,28.0,6.0,0.2,0.0,228.0,2710.0,11.9,18.0,76.0,217.0,4.45,,,,,,1658.0
CUSA,SR,22.0,82.0,1343.0,16.4,7.0,0.0,0.0,0.0,0.0,82.0,1343.0,16.4,7.0,71.0,215.0,4.49,32.0,,119.0,7.32,4.26,10.0
CUSA,SR,34.0,89.0,1669.0,18.8,14.0,0.0,0.0,0.0,0.0,89.0,1669.0,18.8,14.0,,,,,,,,,0.0
MAC,SR,22.0,97.0,1869.0,19.3,20.0,7.0,52.0,7.4,1.0,104.0,1921.0,18.5,21.0,74.0,213.0,4.52,35.5,,116.0,7.05,4.16,1894.0
MWC,SR,41.0,262.0,3572.0,13.6,18.0,8.0,34.0,4.3,1.0,270.0,3606.0,13.4,19.0,73.0,202.0,4.67,36.0,,119.0,6.99,4.23,0.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,308.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,46.0
CUSA,SR,45.0,111.0,1560.0,14.1,13.0,41.0,235.0,5.7,3.0,152.0,1795.0,11.8,16.0,71.0,196.0,4.52,34.0,,122.0,7.41,4.35,0.0
Ind,SR,40.0,63.0,826.0,13.1,5.0,64.0,320.0,5.0,1.0,127.0,1146.0,9.0,6.0,73.0,217.0,4.58,35.0,,117.0,6.74,4.06,1792.0
WAC,Non Declared,6.0,8.0,71.0,8.9,0.0,0.0,0.0,0.0,0.0,8.0,71.0,8.9,0.0,,,,,,,,,38.0
Pac-10,SR,48.0,204.0,3104.0,15.2,15.0,14.0,64.0,4.6,0.0,218.0,3168.0,14.5,15.0,72.0,186.0,4.42,35.0,,125.0,7.51,4.24,0.0
Big East,SR,46.0,75.0,1214.0,16.2,6.0,4.0,35.0,8.8,0.0,79.0,1249.0,15.8,6.0,,,,,,,,,650.0
Pac-10,SR,49.0,173.0,2698.0,15.6,24.0,13.0,150.0,11.5,1.0,186.0,2848.0,15.3,25.0,70.0,178.0,4.56,31.5,,114.0,7.34,4.28,18.0
Big 12,SR,14.0,41.0,721.0,17.6,5.0,2.0,12.0,6.0,0.0,43.0,733.0,17.0,5.0,,,,,,,,,0.0
Big Ten,SR,46.0,141.0,2204.0,15.6,13.0,2.0,-12.0,-6.0,0.0,143.0,2192.0,15.3,13.0,77.0,214.0,4.54,39.0,,121.0,6.9,4.25,17.0
ACC,SR,47.0,90.0,1595.0,17.7,19.0,7.0,39.0,5.6,0.0,97.0,1634.0,16.8,19.0,73.0,205.0,4.44,34.5,,116.0,7.54,4.43,52.0
Ind,SR,31.0,69.0,1078.0,15.6,9.0,0.0,0.0,0.0,0.0,69.0,1078.0,15.6,9.0,,,,,,,,,0.0
MAC,SR,44.0,211.0,2838.0,13.5,20.0,0.0,0.0,0.0,0.0,211.0,2838.0,13.5,20.0,,,,,,,,,1256.0
MAC,SR,46.0,149.0,1966.0,13.2,17.0,1.0,37.0,37.0,0.0,150.0,2003.0,13.4,17.0,,,,,,,,,0.0
CUSA,SR,36.0,59.0,838.0,14.2,6.0,162.0,500.0,3.1,7.0,221.0,1338.0,6.1,13.0,,,,,,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,74.0,200.0,4.51,38.0,,125.0,6.72,3.95,0.0
SEC,JR,31.0,99.0,1747.0,17.6,13.0,4.0,30.0,7.5,0.0,103.0,1777.0,17.3,13.0,72.0,197.0,4.22,,,,,,3516.0
WAC,JR,36.0,194.0,3341.0,17.2,32.0,0.0,0.0,0.0,0.0,194.0,3341.0,17.2,32.0,75.0,197.0,4.49,,,,,,3437.0
ACC,SR,20.0,65.0,1257.0,19.3,10.0,0.0,0.0,0.0,0.0,65.0,1257.0,19.3,10.0,75.0,210.0,4.38,39.5,,128.0,6.86,4.05,3528.0
SEC,SO,23.0,138.0,2375.0,17.2,27.0,0.0,0.0,0.0,0.0,138.0,2375.0,17.2,27.0,73.0,193.0,4.56,,,,6.87,4.06,2151.0
SEC,JR,31.0,167.0,3001.0,18.0,17.0,9.0,63.0,7.0,1.0,176.0,3064.0,17.4,18.0,70.0,210.0,4.54,,,,,,2109.0
SEC,JR,29.0,57.0,842.0,14.8,4.0,24.0,173.0,7.2,0.0,81.0,1015.0,12.5,4.0,72.0,190.0,4.32,39.0,,126.0,6.68,3.93,967.0
Big East,SR,40.0,110.0,2094.0,19.0,19.0,12.0,137.0,11.4,4.0,122.0,2231.0,18.3,23.0,73.0,194.0,4.42,39.5,,123.0,6.77,4.1,1615.0
SEC,JR,35.0,141.0,2088.0,14.8,18.0,13.0,91.0,7.0,0.0,154.0,2179.0,14.1,18.0,72.0,194.0,4.53,41.5,,130.0,7.0,4.1,1710.0
Big Ten,SR,44.0,7.0,90.0,12.9,1.0,857.0,3895.0,4.5,44.0,864.0,3985.0,4.6,45.0,70.0,191.0,4.49,,,,,,2363.0
Big East,JR,31.0,161.0,2805.0,17.4,26.0,0.0,0.0,0.0,0.0,161.0,2805.0,17.4,26.0,73.0,188.0,4.57,37.0,,121.0,,,2907.0
CUSA,SR,23.0,143.0,2204.0,15.4,18.0,10.0,36.0,3.6,0.0,153.0,2240.0,14.6,18.0,69.0,191.0,4.47,36.0,,117.0,6.71,3.78,3469.0
Big Ten,SR,44.0,161.0,2004.0,12.4,17.0,7.0,14.0,2.0,0.0,168.0,2018.0,12.0,17.0,,,,,,,,,0.0
MWC,SR,28.0,124.0,1862.0,15.0,10.0,7.0,37.0,5.3,0.0,131.0,1899.0,14.5,10.0,71.0,185.0,4.36,,,,,,45.0
Big 12,SR,43.0,3.0,109.0,36.3,2.0,648.0,3434.0,5.3,59.0,651.0,3543.0,5.4,61.0,72.0,195.0,4.47,38.0,,112.0,6.87,4.02,0.0
Big Ten,SR,45.0,196.0,2931.0,15.0,31.0,1.0,-27.0,-27.0,0.0,197.0,2904.0,14.7,31.0,74.0,225.0,4.7,34.5,,118.0,7.12,4.02,126.0
Other,Non Declared,,,,,,,,,,,,,,75.0,207.0,4.52,36.5,,122.0,7.02,4.09,0.0
Big Ten,SR,46.0,115.0,1640.0,14.3,7.0,8.0,42.0,5.3,0.0,123.0,1682.0,13.7,7.0,71.0,193.0,4.45,33.0,,114.0,6.65,4.26,0.0
SEC,SR,44.0,71.0,1020.0,14.4,8.0,5.0,77.0,15.4,0.0,76.0,1097.0,14.4,8.0,73.0,203.0,4.47,36.5,,123.0,6.83,4.09,578.0
MAC,SR,40.0,131.0,1986.0,15.2,10.0,10.0,49.0,4.9,0.0,141.0,2035.0,14.4,10.0,73.0,200.0,4.49,,,,,,0.0
SEC,SR,44.0,152.0,1859.0,12.2,6.0,32.0,242.0,7.6,1.0,184.0,2101.0,11.4,7.0,70.0,190.0,4.51,33.5,,117.0,6.84,,0.0
Big Ten,SR,41.0,105.0,1698.0,16.2,14.0,55.0,324.0,5.9,1.0,160.0,2022.0,12.6,15.0,,,,,,,,,0.0
Big Ten,SR,35.0,152.0,1892.0,12.4,15.0,5.0,9.0,1.8,0.0,157.0,1901.0,12.1,15.0,74.0,200.0,4.65,35.0,,,,,0.0
WAC,SR,45.0,200.0,2920.0,14.6,28.0,13.0,79.0,6.1,0.0,213.0,2999.0,14.1,28.0,73.0,190.0,4.55,32.5,,119.0,7.08,4.17,154.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Ind,SR,45.0,63.0,867.0,13.8,4.0,3.0,51.0,17.0,0.0,66.0,918.0,13.9,4.0,71.0,186.0,4.47,41.0,,129.0,6.84,4.04,35.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Pac-10,FR,4.0,0.0,0.0,0.0,0.0,20.0,95.0,4.8,1.0,20.0,95.0,4.8,1.0,,,,,,,,,0.0
Sun Belt,SR,33.0,208.0,2659.0,12.8,17.0,9.0,76.0,8.4,0.0,217.0,2735.0,12.6,17.0,74.0,200.0,4.69,33.5,,117.0,6.87,4.27,55.0
