cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle,yardsfirst5seasons
Pac-10,Non Declared,38.0,147.0,2114.0,14.4,17.0,7.0,64.0,9.1,0.0,154.0,2178.0,14.1,17.0,73.0,197.0,4.52,38.0,19.0,118.0,6.79,4.24,1327.0
SEC,SR,51.0,175.0,2517.0,14.4,25.0,8.0,37.0,4.6,1.0,183.0,2554.0,14.0,26.0,74.0,211.0,4.58,36.0,,115.0,6.81,4.23,3338.0
CUSA,SR,47.0,285.0,3791.0,13.3,34.0,9.0,40.0,4.4,0.0,294.0,3831.0,13.0,34.0,71.0,186.0,4.4,39.5,12.0,126.0,6.64,4.1,3434.0
Big 12,SR,53.0,248.0,3191.0,12.9,33.0,16.0,162.0,10.1,0.0,264.0,3353.0,12.7,33.0,71.0,193.0,4.6,36.5,16.0,116.0,,,1102.0
Big Ten,SR,45.0,227.0,3119.0,13.7,24.0,15.0,114.0,7.6,1.0,242.0,3233.0,13.4,25.0,75.0,217.0,4.54,,15.0,,,,4032.0
Other,Non Declared,,,,,,,,,,,,,,71.0,195.0,4.4,36.0,15.0,120.0,6.77,4.15,2576.0
Other,Non Declared,,,,,,,,,,,,,,71.0,187.0,4.41,,,,,,131.0
MAC,SR,52.0,149.0,2019.0,13.6,14.0,24.0,125.0,5.2,0.0,173.0,2144.0,12.4,14.0,72.0,204.0,4.4,37.0,16.0,114.0,6.82,4.34,119.0
Big East,SR,48.0,204.0,3003.0,14.7,25.0,7.0,26.0,3.7,1.0,211.0,3029.0,14.4,26.0,72.0,187.0,4.61,39.0,,116.0,6.92,4.4,93.0
Big East,SR,29.0,133.0,2044.0,15.4,20.0,1.0,-7.0,-7.0,0.0,134.0,2037.0,15.2,20.0,73.0,221.0,4.53,33.5,8.0,116.0,6.9,4.31,3089.0
Big East,SR,34.0,53.0,997.0,18.8,8.0,1.0,11.0,11.0,0.0,54.0,1008.0,18.7,8.0,75.0,210.0,4.39,34.0,16.0,123.0,6.94,4.6,71.0
ACC,SR,48.0,143.0,1986.0,13.9,16.0,58.0,494.0,8.5,2.0,201.0,2480.0,12.3,18.0,69.0,186.0,4.28,33.5,15.0,115.0,7.0,4.44,848.0
MWC,SR,26.0,106.0,1615.0,15.2,11.0,5.0,19.0,3.8,1.0,111.0,1634.0,14.7,12.0,72.0,191.0,4.56,37.0,15.0,114.0,6.95,4.38,68.0
SEC,SR,51.0,81.0,1496.0,18.5,18.0,1.0,14.0,14.0,0.0,82.0,1510.0,18.4,18.0,75.0,222.0,4.53,33.0,,114.0,,,2091.0
Big 12,SR,46.0,226.0,2309.0,10.2,18.0,118.0,415.0,3.5,6.0,344.0,2724.0,7.9,24.0,74.0,224.0,4.62,35.0,13.0,115.0,,4.23,0.0
Big East,JR,37.0,105.0,1648.0,15.7,9.0,5.0,24.0,4.8,0.0,110.0,1672.0,15.2,9.0,75.0,215.0,4.46,36.0,16.0,122.0,6.96,4.55,31.0
Big 12,JR,37.0,219.0,3240.0,14.8,31.0,4.0,37.0,9.3,1.0,223.0,3277.0,14.7,32.0,74.0,207.0,4.66,33.0,9.0,115.0,7.1,4.57,502.0
MAC,JR,41.0,305.0,3199.0,10.5,22.0,72.0,531.0,7.4,4.0,377.0,3730.0,9.9,26.0,70.0,186.0,4.56,33.5,13.0,105.0,6.98,4.18,5259.0
SEC,SR,51.0,7.0,72.0,10.3,0.0,115.0,776.0,6.7,4.0,122.0,848.0,7.0,4.0,65.0,166.0,4.34,42.0,10.0,116.0,6.54,4.48,34.0
Big 12,SR,47.0,116.0,1555.0,13.4,4.0,0.0,0.0,0.0,0.0,116.0,1555.0,13.4,4.0,75.0,217.0,4.43,34.5,15.0,124.0,6.94,4.41,508.0
CUSA,SR,37.0,32.0,471.0,14.7,4.0,516.0,2774.0,5.4,24.0,548.0,3245.0,5.9,28.0,,,,,,,,,58.0
Pac-10,SR,41.0,109.0,1626.0,14.9,18.0,17.0,130.0,7.6,0.0,126.0,1756.0,13.9,18.0,70.0,188.0,4.4,33.0,11.0,118.0,7.0,4.19,574.0
Pac-10,SR,47.0,109.0,1192.0,10.9,5.0,23.0,146.0,6.3,0.0,132.0,1338.0,10.1,5.0,,,,,,,,,184.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,324.0
Big East,SR,45.0,63.0,708.0,11.2,12.0,5.0,50.0,10.0,1.0,68.0,758.0,11.1,13.0,73.0,226.0,4.4,43.5,24.0,125.0,6.96,4.3,151.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
ACC,JR,38.0,138.0,2089.0,15.1,13.0,25.0,314.0,12.6,2.0,163.0,2403.0,14.7,15.0,74.0,210.0,4.3,38.5,16.0,126.0,6.8,4.18,2380.0
Big 12,SO,26.0,231.0,3127.0,13.5,41.0,2.0,1.0,0.5,0.0,233.0,3128.0,13.4,41.0,73.0,215.0,4.54,,,,,,3629.0
Big 12,SO,28.0,182.0,2315.0,12.7,22.0,91.0,668.0,7.3,6.0,273.0,2983.0,10.9,28.0,72.0,198.0,4.43,,,,,,4771.0
