player,nflurl,cfb url,nflteam,college,round,pick,cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle
Joe Reed,https://www.pro-football-reference.com/players/R/ReedJo03.htm,https://www.sports-reference.com/cfb/players/joe-reed-4.html,LAC,Virginia,5,151,ACC,SR,47.0,129.0,1465.0,11.4,16.0,34.0,172.0,5.1,1.0,163.0,1637.0,10.0,17.0,72.0,224.0,4.47,38.0,21.0,123.0,,
Tyler Johnson,https://www.pro-football-reference.com/players/J/JohnTy00.htm,https://www.sports-reference.com/cfb/players/tyler-johnson-6.html,TAM,Minnesota,5,161,Big Ten,SR,43.0,213.0,3305.0,15.5,33.0,1.0,-1.0,-1.0,0.0,214.0,3304.0,15.4,33.0,73.0,206.0,,,,,,
Collin Johnson,https://www.pro-football-reference.com/players/J/JohnCo01.htm,https://www.sports-reference.com/cfb/players/collin-johnson-2.html,JAX,Texas,5,165,Big 12,SR,42.0,188.0,2624.0,14.0,15.0,0.0,-7.0,,0.0,188.0,2617.0,13.9,15.0,78.0,222.0,,,17.0,,,
Quintez Cephus,https://www.pro-football-reference.com/players/C/CephQu00.htm,https://www.sports-reference.com/cfb/players/quintez-cephus-1.html,DET,Wisconsin,5,166,Big Ten,,30.0,93.0,1496.0,16.1,13.0,9.0,46.0,5.1,0.0,102.0,1542.0,15.1,13.0,73.0,202.0,4.73,38.5,23.0,124.0,7.2,4.33
John Hightower,https://www.pro-football-reference.com/players/H/HighJo00.htm,https://www.sports-reference.com/cfb/players/john-hightower-1.html,PHI,Boise St.,5,168,MWC,SR,23.0,82.0,1447.0,17.6,14.0,24.0,317.0,13.2,2.0,106.0,1764.0,16.6,16.0,73.0,189.0,4.43,38.5,,122.0,7.07,4.21
Isaiah Coulter,https://www.pro-football-reference.com/players/C/CoulIs00.htm,,HOU,Rhode Island,5,171,,,,,,,,,,,,,,,,74.0,198.0,4.45,36.0,,121.0,7.28,4.62
Darnell Mooney,https://www.pro-football-reference.com/players/M/MoonDa00.htm,https://www.sports-reference.com/cfb/players/darnell-mooney-1.html,CHI,Tulane,5,173,American,SR,46.0,154.0,2572.0,16.7,19.0,5.0,28.0,5.6,0.0,159.0,2600.0,16.4,19.0,70.0,176.0,4.38,37.0,9.0,124.0,,
K.J. Osborn,https://www.pro-football-reference.com/players/O/OsboKJ00.htm,https://www.sports-reference.com/cfb/players/kj-osborn-1.html,MIN,Miami (FL),5,176,,,46.0,50.0,547.0,10.9,5.0,5.0,15.0,3.0,0.0,55.0,562.0,10.2,5.0,71.0,203.0,4.48,37.5,18.0,123.0,7.0,4.35
Donovan Peoples-Jones,https://www.pro-football-reference.com/players/P/PeopDo00.htm,https://www.sports-reference.com/cfb/players/donovan-peoples-jones-1.html,CLE,Michigan,6,187,Big Ten,JR,37.0,103.0,1327.0,12.9,14.0,9.0,87.0,9.7,0.0,112.0,1414.0,12.6,14.0,74.0,212.0,4.48,44.5,,139.0,,
Quez Watkins,https://www.pro-football-reference.com/players/W/WatkQu00.htm,https://www.sports-reference.com/cfb/players/quez-watkins-1.html,PHI,Southern Miss,6,200,CUSA,JR,34.0,159.0,2404.0,15.1,17.0,5.0,12.0,2.4,0.0,164.0,2416.0,14.7,17.0,72.0,185.0,4.35,36.5,,125.0,7.28,4.36
James Proche,https://www.pro-football-reference.com/players/P/ProcJa00.htm,https://www.sports-reference.com/cfb/players/james-proche-1.html,BAL,SMU,6,201,American,SR,49.0,301.0,3949.0,13.1,39.0,10.0,50.0,5.0,0.0,311.0,3999.0,12.9,39.0,71.0,201.0,,34.5,20.0,,7.27,4.4
Isaiah Hodgins,https://www.pro-football-reference.com/players/H/HodgIs00.htm,https://www.sports-reference.com/cfb/players/isaiah-hodgins-1.html,BUF,Oregon St.,6,207,Pac-12,JR,34.0,176.0,2322.0,13.2,20.0,0.0,0.0,,0.0,176.0,2322.0,13.2,20.0,76.0,210.0,4.61,36.5,9.0,124.0,7.01,4.12
Dezmon Patmon,https://www.pro-football-reference.com/players/P/PatmDe00.htm,https://www.sports-reference.com/cfb/players/dezmon-patmon-1.html,IND,Washington St.,6,212,Pac-12,SR,36.0,156.0,1976.0,12.7,13.0,0.0,0.0,,0.0,156.0,1976.0,12.7,13.0,76.0,225.0,4.48,36.0,15.0,132.0,7.28,4.38
Freddie Swain,https://www.pro-football-reference.com/players/S/SwaiFr00.htm,https://www.sports-reference.com/cfb/players/freddie-swain-1.html,SEA,Florida,6,214,SEC,SR,37.0,68.0,996.0,14.6,15.0,4.0,27.0,6.8,0.0,72.0,1023.0,14.2,15.0,72.0,197.0,4.46,36.5,16.0,124.0,7.05,4.26
Jauan Jennings,https://www.pro-football-reference.com/players/J/JennJa00.htm,https://www.sports-reference.com/cfb/players/jauan-jennings-1.html,SFO,Tennessee,7,217,SEC,SR,48.0,146.0,2153.0,14.7,18.0,25.0,93.0,3.7,1.0,171.0,2246.0,13.1,19.0,75.0,215.0,4.72,29.0,,119.0,,
K.J. Hill,https://www.pro-football-reference.com/players/H/HillKJ00.htm,https://www.sports-reference.com/cfb/players/kj-hill-1.html,LAC,Ohio St.,7,220,Big Ten,SR,50.0,201.0,2332.0,11.6,20.0,4.0,-1.0,-0.3,0.0,205.0,2331.0,11.4,20.0,72.0,196.0,4.6,32.5,17.0,114.0,,
Tyrie Cleveland,https://www.pro-football-reference.com/players/C/ClevTy00.htm,https://www.sports-reference.com/cfb/players/tyrie-cleveland-1.html,DEN,Florida,7,252,SEC,SR,40.0,79.0,1271.0,16.1,8.0,2.0,6.0,3.0,0.0,81.0,1277.0,15.8,8.0,74.0,209.0,4.46,39.5,13.0,126.0,,
