year,round,pick,player,cfb_url,cfb_table_name,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_method,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,nfl_url,nfl_table_name,nfl_yards_per_year
2014,3,86,Josh Huff,https://www.sports-reference.com/cfb/players/josh-huff-1.html,receiving & rushing table,Oregon,Pac-12,SR,WR,49.0,144.0,2366.0,16.4,24.0,18.0,242.0,13.4,2.0,162.0,2608.0,16.1,26.0,success from merge,22,71.0,206.0,4.51,35.5,14.0,116.0,,https://www.pro-football-reference.com/players/H/HuffJo00.htm,receiving & rushing table,"[98.0, 312.0, 113.0]"
2014,3,90,Donte Moncrief,https://www.sports-reference.com/cfb/players/donte-moncrief-1.html,receiving & rushing table,Ole Miss,SEC,JR,WR,38.0,156.0,2371.0,15.2,20.0,0.0,0.0,0.0,0.0,156.0,2371.0,15.2,20.0,success from merge,21,74.0,221.0,4.4,39.5,13.0,132.0,7.02,https://www.pro-football-reference.com/players/M/MoncDo00.htm,receiving & rushing table,"[444.0, 733.0, 307.0, 391.0, 668.0, 18.0]"
2014,3,91,John Brown,cfb link is missing,cfb link is missing,,,,,,,,,,,,,,,,,,success from merge,24,70.0,179.0,4.34,36.5,,119.0,6.91,https://www.pro-football-reference.com/players/B/BrowJo02.htm,receiving & rushing table,"[696.0, 1003.0, 517.0, 299.0, 715.0, 1060.0, 152.0]"
2014,3,97,Dri Archer,https://www.sports-reference.com/cfb/players/dri-archer-1.html,receiving & rushing table inverted,Kent State,MAC,SR,RB,47.0,99.0,1194.0,12.1,12.0,325.0,2342.0,7.2,24.0,424.0,3536.0,8.3,36.0,success from merge,23,68.0,173.0,4.26,38.0,20.0,122.0,6.86,https://www.pro-football-reference.com/players/A/ArchDr00.htm,receiving & rushing table webdriver inverted,[23.0]
2014,4,104,Jalen Saunders,https://www.sports-reference.com/cfb/players/jalen-saunders-1.html,receiving & rushing table,Oklahoma,Big 12,SR,WR,48.0,203.0,3085.0,15.2,26.0,32.0,301.0,9.4,2.0,235.0,3386.0,14.4,28.0,success from merge,21,69.0,165.0,4.44,34.0,,122.0,,https://www.pro-football-reference.com/players/S/SaunJa00.htm,receiving & rushing table webdriver,[7.0]
2014,4,106,Bruce Ellington,https://www.sports-reference.com/cfb/players/bruce-ellington-1.html,receiving & rushing table,South Carolina,SEC,JR,WR,38.0,106.0,1586.0,15.0,16.0,25.0,148.0,5.9,1.0,131.0,1734.0,13.2,17.0,success from merge,23,69.0,197.0,4.45,39.5,15.0,120.0,6.69,https://www.pro-football-reference.com/players/E/ElliBr00.htm,receiving & rushing table,"[62.0, 153.0, 330.0, 224.0]"
2014,4,115,Shaquelle Evans,https://www.sports-reference.com/cfb/players/shaquelle-evans-1.html,receiving & rushing table,UCLA,Pac-12,SR,WR,46.0,133.0,1956.0,14.7,14.0,2.0,6.0,3.0,0.0,135.0,1962.0,14.5,14.0,success from merge,23,73.0,213.0,4.51,34.5,13.0,122.0,7.07,https://www.pro-football-reference.com/players/E/EvanSh00.htm,receiving & rushing table,[0.0]
2014,4,118,Martavis Bryant,https://www.sports-reference.com/cfb/players/martavis-bryant-1.html,receiving & rushing table,Clemson,ACC,JR,WR,37.0,61.0,1354.0,22.2,13.0,1.0,17.0,17.0,0.0,62.0,1371.0,22.1,13.0,success from merge,22,76.0,211.0,4.42,39.0,16.0,124.0,7.18,https://www.pro-football-reference.com/players/B/BryaMa00.htm,receiving & rushing table,"[549.0, 765.0, 603.0, 266.0]"
2014,4,123,Kevin Norwood,https://www.sports-reference.com/cfb/players/kevin-norwood-1.html,receiving & rushing table,Alabama,SEC,,WR,49.0,81.0,1275.0,15.7,12.0,0.0,0.0,0.0,0.0,81.0,1275.0,15.7,12.0,success from merge,24,74.0,198.0,4.48,33.0,8.0,121.0,6.68,https://www.pro-football-reference.com/players/N/NorwKe00.htm,receiving & rushing table,"[102.0, 0.0]"
2014,5,142,Ryan Grant,https://www.sports-reference.com/cfb/players/ryan-grant-2.html,receiving & rushing table,Tulane,CUSA,SR,WR,47.0,196.0,2769.0,14.1,21.0,5.0,3.0,0.6,0.0,201.0,2772.0,13.8,21.0,success from search,23,72.0,199.0,4.64,35.5,8.0,119.0,6.68,https://www.pro-football-reference.com/players/G/GranRy01.htm,receiving & rushing table,"[68.0, 268.0, 76.0, 573.0, 334.0, 14.0]"
2014,5,146,Devin Street,https://www.sports-reference.com/cfb/players/devin-street-1.html,receiving & rushing table,Pitt,ACC,SR,WR,49.0,202.0,2901.0,14.4,16.0,11.0,77.0,7.0,0.0,213.0,2978.0,14.0,16.0,success from merge,23,75.0,198.0,4.55,37.0,,124.0,6.89,https://www.pro-football-reference.com/players/S/StreDe00.htm,receiving & rushing table,"[18.0, 114.0, 20.0]"
2014,5,176,Jared Abbrederis,https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,receiving & rushing table,Wisconsin,Big Ten,SR,WR,53.0,202.0,3140.0,15.5,23.0,28.0,291.0,10.4,2.0,230.0,3431.0,14.9,25.0,success from merge,23,73.0,195.0,4.5,30.5,4.0,117.0,6.8,https://www.pro-football-reference.com/players/A/AbbrJa00.htm,receiving & rushing table,"[0.0, 111.0, 8.0, 44.0]"
2014,6,185,Robert Herron,https://www.sports-reference.com/cfb/players/robert-herron-1.html,receiving & rushing table,Wyoming,MWC,SR,WR,42.0,152.0,2025.0,13.3,20.0,54.0,310.0,5.7,0.0,206.0,2335.0,11.3,20.0,success from merge,22,69.0,193.0,4.48,35.5,18.0,125.0,6.84,https://www.pro-football-reference.com/players/H/HerrRo00.htm,receiving & rushing table,[58.0]
2014,6,189,T.J. Jones,https://www.sports-reference.com/cfb/players/tj-jones-2.html,receiving & rushing table,Penn State,Big Ten,FR,WR,51.0,181.0,2429.0,13.4,19.0,10.0,75.0,7.5,2.0,191.0,2504.0,13.1,21.0,success from merge,22,72.0,188.0,4.46,33.0,,119.0,6.82,https://www.pro-football-reference.com/players/J/JoneT.00.htm,receiving & rushing table,"[0.0, 132.0, 93.0, 399.0, 190.0, 38.0]"
2014,6,190,Matt Hazel,cfb link is missing,cfb link is missing,,,,,,,,,,,,,,,,,,success from merge,22,73.0,198.0,4.5,36.5,15.0,118.0,7.08,https://www.pro-football-reference.com/players/H/HazeMa01.htm,receiving & rushing table,"[0.0, 0.0, 1.0]"
2014,6,196,Walt Powell,cfb link is missing,cfb link is missing,,,,,,,,,,,,,,,,,,fail from merge and from search,22,,,,,,,,https://www.pro-football-reference.com/players/P/PoweWa00.htm,receiving & rushing table webdriver,"[0.0, 142.0]"
2014,6,209,Quincy Enunwa,https://www.sports-reference.com/cfb/players/quincy-enunwa-1.html,receiving & rushing table,Nebraska,Big Ten,SR,WR,49.0,115.0,1526.0,13.3,15.0,3.0,-1.0,-0.3,0.0,118.0,1525.0,12.9,15.0,success from merge,22,74.0,225.0,4.41,,19.0,,,https://www.pro-football-reference.com/players/E/EnunQu00.htm,receiving & rushing table,"[0.0, 315.0, 857.0, 449.0, -4.0]"
2014,7,218,Michael Campanaro,https://www.sports-reference.com/cfb/players/michael-campanaro-1.html,receiving & rushing table,Wake Forest,ACC,SR,WR,42.0,229.0,2506.0,10.9,14.0,51.0,238.0,4.7,2.0,280.0,2744.0,9.8,16.0,success from merge,23,69.0,192.0,4.46,39.0,20.0,122.0,6.77,https://www.pro-football-reference.com/players/C/CampMi02.htm,receiving & rushing table,"[102.0, 35.0, 0.0, 173.0]"
