cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,rec_yards_ffs
Kansas State,Big 12,SR,WR,14.0,41.0,721.0,17.6,5.0,2.0,12.0,6.0,0.0,43.0,733.0,17.0,5.0,22,,,,,,,,0.0
Illinois,Big Ten,SR,WR,46.0,141.0,2204.0,15.6,13.0,2.0,-12.0,-6.0,0.0,143.0,2192.0,15.3,13.0,23,77.0,214.0,4.54,39.0,,121.0,6.9,17.0
Florida State,ACC,SR,WR,47.0,90.0,1595.0,17.7,19.0,7.0,39.0,5.6,0.0,97.0,1634.0,16.8,19.0,23,73.0,205.0,4.44,34.5,,116.0,7.54,52.0
South Florida,Ind,SR,WR,31.0,69.0,1078.0,15.6,9.0,0.0,0.0,0.0,0.0,69.0,1078.0,15.6,9.0,0,,,,,,,,0.0
,,,,,,,,,,,,,,,,,22,,,,,,,,1256.0
Toledo,MAC,SR,WR,46.0,149.0,1966.0,13.2,17.0,1.0,37.0,37.0,0.0,150.0,2003.0,13.4,17.0,22,,,,,,,,0.0
Memphis,CUSA,SR,WR,36.0,59.0,838.0,14.2,6.0,162.0,500.0,3.1,7.0,221.0,1338.0,6.1,13.0,0,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0,74.0,200.0,4.51,38.0,,125.0,6.72,0.0
Tennessee,SEC,JR,WR,31.0,99.0,1747.0,17.6,13.0,4.0,30.0,7.5,0.0,103.0,1777.0,17.3,13.0,21,72.0,197.0,4.22,,,,,3516.0
Hawaii,WAC,JR,WR,36.0,194.0,3341.0,17.2,32.0,0.0,0.0,0.0,0.0,194.0,3341.0,17.2,32.0,22,75.0,197.0,4.49,,,,,3437.0
