cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,rec_yards_ffs
Alabama,SEC,SR,WR,44.0,152.0,1859.0,12.2,6.0,32.0,242.0,7.6,1.0,184.0,2101.0,11.4,7.0,0,70.0,190.0,4.51,33.5,,117.0,6.84,0.0
Northwestern,Big Ten,SR,WR,41.0,105.0,1698.0,16.2,14.0,55.0,324.0,5.9,1.0,160.0,2022.0,12.6,15.0,22,,,,,,,,0.0
Iowa,Big Ten,SR,WR,35.0,152.0,1892.0,12.4,15.0,5.0,9.0,1.8,0.0,157.0,1901.0,12.1,15.0,23,74.0,200.0,4.65,35.0,,,,0.0
UTEP,WAC,SR,WR,45.0,200.0,2920.0,14.6,28.0,13.0,79.0,6.1,0.0,213.0,2999.0,14.1,28.0,23,73.0,190.0,4.55,32.5,,119.0,7.08,154.0
,,,,,,,,,,,,,,,,,22,,,,,,,,0.0
Notre Dame,Ind,SR,WR,45.0,63.0,867.0,13.8,4.0,3.0,51.0,17.0,0.0,66.0,918.0,13.9,4.0,22,71.0,186.0,4.47,41.0,,129.0,6.84,35.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
Middle Tennessee State,Sun Belt,SR,WR,33.0,208.0,2659.0,12.8,17.0,9.0,76.0,8.4,0.0,217.0,2735.0,12.6,17.0,22,74.0,200.0,4.69,33.5,,117.0,6.87,55.0
Northern Illinois,MAC,SR,WR,35.0,88.0,1595.0,18.1,13.0,13.0,105.0,8.1,0.0,101.0,1700.0,16.8,13.0,23,,,,,,,,0.0
Miami (FL),Big East,SR,WR,39.0,59.0,819.0,13.9,5.0,2.0,-8.0,-4.0,0.0,61.0,811.0,13.3,5.0,23,69.0,180.0,4.35,,,,,90.0
North Carolina,ACC,SR,QB,37.0,1.0,2.0,2.0,0.0,348.0,1249.0,3.6,13.0,349.0,1251.0,3.6,13.0,23,74.0,220.0,4.59,35.0,,115.0,7.06,1449.0
Fresno State,WAC,SR,WR,35.0,211.0,3142.0,14.9,23.0,39.0,234.0,6.0,1.0,250.0,3376.0,13.5,24.0,0,,,,,,,,0.0
Notre Dame,Ind,SR,WR,44.0,72.0,814.0,11.3,3.0,41.0,146.0,3.6,4.0,113.0,960.0,8.5,7.0,22,72.0,217.0,4.56,40.5,,126.0,6.82,2318.0
Kansas State,Big 12,SR,WR,47.0,137.0,2400.0,17.5,14.0,15.0,69.0,4.6,0.0,152.0,2469.0,16.2,14.0,0,67.0,155.0,4.31,35.0,,119.0,6.84,0.0
Michigan,Big Ten,JR,WR,34.0,137.0,2005.0,14.6,19.0,8.0,108.0,13.5,1.0,145.0,2113.0,14.6,20.0,22,75.0,213.0,4.43,,,,,1602.0
North Carolina State,ACC,SO,WR,22.0,110.0,1914.0,17.4,15.0,28.0,110.0,3.9,0.0,138.0,2024.0,14.7,15.0,21,73.0,211.0,4.61,,,,,3514.0
Clemson,ACC,SR,WR,46.0,159.0,2404.0,15.1,12.0,5.0,0.0,0.0,0.0,164.0,2404.0,14.7,12.0,23,74.0,219.0,4.48,,,,,3148.0
Miami (FL),Big East,SR,WR,42.0,143.0,2547.0,17.8,19.0,12.0,277.0,23.1,3.0,155.0,2824.0,18.2,22.0,22,70.0,184.0,4.31,,,,,3899.0
UCLA,Pac-10,JR,WR,34.0,110.0,1955.0,17.8,9.0,9.0,67.0,7.4,0.0,119.0,2022.0,17.0,9.0,22,71.0,185.0,4.46,39.5,,120.0,6.95,1263.0
Miami (FL),Big East,SR,WR,45.0,173.0,2510.0,14.5,20.0,2.0,15.0,7.5,0.0,175.0,2525.0,14.4,20.0,22,72.0,198.0,4.45,,,,,4164.0
Kansas State,Big 12,SR,WR,24.0,106.0,2173.0,20.5,23.0,3.0,11.0,3.7,0.0,109.0,2184.0,20.0,23.0,23,73.0,211.0,4.48,,,,,2466.0
Oregon State,Pac-10,SR,WR,12.0,37.0,806.0,21.8,8.0,2.0,-5.0,-2.5,0.0,39.0,801.0,20.5,8.0,23,73.0,192.0,4.57,33.0,,108.0,7.51,5556.0
Texas A&M,Big 12,JR,WR,10.0,58.0,885.0,15.3,6.0,0.0,0.0,0.0,0.0,58.0,885.0,15.3,6.0,21,73.0,205.0,4.48,36.5,,120.0,7.24,1546.0
Wisconsin,Big Ten,SR,WR,41.0,127.0,2004.0,15.8,16.0,2.0,17.0,8.5,0.0,129.0,2021.0,15.7,16.0,23,72.0,210.0,4.33,45.0,,134.0,,4596.0
Utah,MWC,SR,WR,21.0,78.0,1603.0,20.6,12.0,8.0,52.0,6.5,0.0,86.0,1655.0,19.2,12.0,22,69.0,184.0,4.41,38.5,,121.0,7.44,3759.0
Florida State,ACC,SR,WR,42.0,115.0,2098.0,18.2,17.0,2.0,6.0,3.0,0.0,117.0,2104.0,18.0,17.0,24,73.0,171.0,4.57,37.5,,115.0,7.06,515.0
Washington State,Pac-10,JR,WR,12.0,55.0,984.0,17.9,5.0,2.0,32.0,16.0,1.0,57.0,1016.0,17.8,6.0,22,,,,,,,,69.0
Northern Illinois,MAC,SR,WR,44.0,204.0,2991.0,14.7,29.0,14.0,162.0,11.6,0.0,218.0,3153.0,14.5,29.0,22,74.0,209.0,4.51,41.0,,129.0,7.06,2685.0
Texas Christian,WAC,SR,WR,43.0,41.0,593.0,14.5,4.0,4.0,-6.0,-1.5,0.0,45.0,587.0,13.0,4.0,22,74.0,204.0,4.49,43.0,,134.0,,29.0
Purdue,Big Ten,SR,WR,49.0,176.0,2370.0,13.5,25.0,50.0,384.0,7.7,3.0,226.0,2754.0,12.2,28.0,23,69.0,192.0,4.48,,,,,5.0
,,,,,,,,,,,,,,,,,22,77.0,201.0,4.47,30.5,,110.0,,121.0
,,,,,,,,,,,,,,,,,21,74.0,184.0,4.57,34.5,,115.0,,858.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
,,,,,,,,,,,,,,,,,24,,,,,,,,774.0
,,,,,,,,,,,,,,,,,23,71.0,191.0,4.43,39.5,,122.0,6.78,379.0
,,,,,,,,,,,,,,,,,22,,,,,,,,266.0
Nebraska,Big 12,SR,WR,41.0,45.0,660.0,14.7,4.0,145.0,489.0,3.4,12.0,190.0,1149.0,6.0,16.0,0,70.0,195.0,4.53,37.0,,117.0,6.86,0.0
Tennessee,SEC,SR,WR,45.0,159.0,2137.0,13.4,24.0,0.0,0.0,0.0,0.0,159.0,2137.0,13.4,24.0,22,70.0,179.0,4.48,38.0,,123.0,,1654.0
Iowa,Big Ten,SR,WR,43.0,157.0,1974.0,12.6,11.0,2.0,-20.0,-10.0,0.0,159.0,1954.0,12.3,11.0,23,72.0,199.0,4.42,43.5,,126.0,6.56,287.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
Oregon State,Pac-10,SR,WR,23.0,72.0,1108.0,15.4,9.0,1.0,23.0,23.0,0.0,73.0,1131.0,15.5,9.0,23,,,,,,,,2654.0
,,,,,,,,,,,,,,,,,0,71.0,177.0,4.39,36.5,,126.0,,0.0
Ohio State,Big Ten,SR,WR,42.0,80.0,1268.0,15.9,6.0,0.0,0.0,0.0,0.0,80.0,1268.0,15.9,6.0,23,73.0,183.0,4.39,,,,,203.0
Texas A&M,Big 12,SR,WR,47.0,83.0,1316.0,15.9,7.0,6.0,69.0,11.5,1.0,89.0,1385.0,15.6,8.0,0,71.0,183.0,4.4,35.5,,115.0,6.81,0.0
Ohio State,Big Ten,SR,WR,47.0,106.0,1849.0,17.4,9.0,13.0,53.0,4.1,0.0,119.0,1902.0,16.0,9.0,22,73.0,196.0,4.34,,,,,239.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
Kentucky,SEC,SR,WR,39.0,112.0,1743.0,15.6,15.0,8.0,160.0,20.0,1.0,120.0,1903.0,15.9,16.0,23,70.0,191.0,4.48,36.5,,112.0,7.17,427.0
Miami (FL),Big East,SR,WR,41.0,64.0,834.0,13.0,3.0,0.0,0.0,0.0,0.0,64.0,834.0,13.0,3.0,27,72.0,199.0,4.61,,,,,327.0
Florida State,ACC,,WR,54.0,207.0,3517.0,17.0,32.0,41.0,188.0,4.6,4.0,248.0,3705.0,14.9,36.0,23,71.0,194.0,4.58,,,,,2811.0
Michigan State,Big Ten,,WR,24.0,131.0,2155.0,16.5,20.0,0.0,0.0,0.0,0.0,131.0,2155.0,16.5,20.0,23,77.0,231.0,4.59,33.0,,115.0,,4164.0
Florida,SEC,,WR,27.0,72.0,1150.0,16.0,15.0,4.0,25.0,6.3,0.0,76.0,1175.0,15.5,15.0,22,73.0,199.0,4.43,37.0,,118.0,7.15,2758.0
,,,,,,,,,,,,,,,,,22,75.0,216.0,4.6,34.5,,119.0,7.06,678.0
USC,Pac-10,,WR,46.0,161.0,2672.0,16.6,23.0,27.0,340.0,12.6,3.0,188.0,3012.0,16.0,26.0,22,69.0,177.0,4.34,35.0,,124.0,,154.0
Arizona,Pac-10,,WR,46.0,217.0,3186.0,14.7,24.0,34.0,382.0,11.2,2.0,251.0,3568.0,14.2,26.0,22,70.0,175.0,4.43,37.5,,123.0,6.96,2769.0
Southern Mississippi,CUSA,,WR,45.0,149.0,2366.0,15.9,22.0,0.0,0.0,0.0,0.0,149.0,2366.0,15.9,22.0,23,74.0,169.0,4.45,,,,,2816.0
West Virginia,Big East,,WR,33.0,28.0,591.0,21.1,7.0,6.0,52.0,8.7,0.0,34.0,643.0,18.9,7.0,22,74.0,221.0,4.48,,,,,2273.0
Florida State,ACC,,WR,46.0,105.0,1520.0,14.5,7.0,0.0,0.0,0.0,0.0,105.0,1520.0,14.5,7.0,23,73.0,206.0,4.58,,,117.0,,797.0
Georgia Tech,ACC,,WR,32.0,90.0,1833.0,20.4,14.0,11.0,67.0,6.1,0.0,101.0,1900.0,18.8,14.0,21,73.0,218.0,4.62,37.5,,124.0,6.91,2124.0
Texas A&M,Big 12,,WR,36.0,85.0,1363.0,16.0,8.0,4.0,45.0,11.3,0.0,89.0,1408.0,15.8,8.0,22,72.0,191.0,4.37,37.5,,125.0,6.76,164.0
,,,,,,,,,,,,,,,,,24,,,,,,,,696.0
Florida State,ACC,,WR,35.0,62.0,1064.0,17.2,7.0,35.0,260.0,7.4,1.0,97.0,1324.0,13.6,8.0,22,71.0,192.0,4.41,34.0,,115.0,6.89,4656.0
Tulane,CUSA,,WR,41.0,240.0,3131.0,13.0,31.0,1.0,3.0,3.0,0.0,241.0,3134.0,13.0,31.0,22,73.0,199.0,4.55,34.0,,117.0,6.96,664.0
Florida,SEC,,WR,32.0,97.0,1501.0,15.5,14.0,3.0,26.0,8.7,0.0,100.0,1527.0,15.3,14.0,21,72.0,197.0,4.56,,,,,5007.0
Michigan State,Big Ten,,WR,45.0,134.0,2095.0,15.6,18.0,1.0,-8.0,-8.0,0.0,135.0,2087.0,15.5,18.0,22,72.0,194.0,4.59,33.5,,119.0,,26.0
UCLA,Pac-10,,WR,44.0,159.0,3020.0,19.0,19.0,3.0,40.0,13.3,0.0,162.0,3060.0,18.9,19.0,23,75.0,217.0,4.58,,,,,611.0
Miami (OH),MAC,,WR,38.0,128.0,2131.0,16.6,20.0,7.0,47.0,6.7,1.0,135.0,2178.0,16.1,21.0,22,75.0,199.0,4.56,37.5,,121.0,7.03,784.0
Arkansas,SEC,,WR,43.0,137.0,2879.0,21.0,23.0,1.0,3.0,3.0,0.0,138.0,2882.0,20.9,23.0,0,75.0,194.0,4.53,35.0,,121.0,,0.0
,,,,,,,,,,,,,,,,,23,,,,,,,,142.0
USC,Pac-10,,WR,45.0,176.0,2443.0,13.9,15.0,6.0,23.0,3.8,0.0,182.0,2466.0,13.5,15.0,23,71.0,204.0,4.5,,,,7.33,126.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
Texas A&M,Big 12,,RB,43.0,22.0,260.0,11.8,0.0,522.0,2818.0,5.4,22.0,544.0,3078.0,5.7,22.0,21,,,,,,,,975.0
,,,,,,,,,,,,,,,,,0,73.0,201.0,4.52,37.5,,129.0,6.91,0.0
Stanford,Pac-10,,WR,42.0,244.0,3986.0,16.3,26.0,6.0,5.0,0.8,0.0,250.0,3991.0,16.0,26.0,23,66.0,171.0,4.55,32.5,,106.0,6.61,673.0
Kansas State,Big 12,,RB,19.0,9.0,130.0,14.4,1.0,152.0,798.0,5.3,11.0,161.0,928.0,5.8,12.0,23,,,,,,,,71.0
,,,,,,,,,,,,,,,,,22,74.0,205.0,4.66,39.5,,129.0,6.93,0.0
Marshall,MAC,,WR,25.0,73.0,1471.0,20.2,17.0,2.0,-12.0,-6.0,0.0,75.0,1459.0,19.5,17.0,22,71.0,180.0,4.59,36.0,,123.0,7.22,410.0
Arkansas,SEC,,WR,43.0,101.0,1235.0,12.2,4.0,3.0,3.0,1.0,0.0,104.0,1238.0,11.9,4.0,24,,,,,,,,0.0
Southern Mississippi,CUSA,,WR,42.0,193.0,3214.0,16.7,30.0,1.0,-3.0,-3.0,0.0,194.0,3211.0,16.6,30.0,0,71.0,173.0,4.66,,,,,0.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
Buffalo,MAC,,WR,11.0,85.0,1158.0,13.6,6.0,11.0,62.0,5.6,0.0,96.0,1220.0,12.7,6.0,22,,,,,,,,11.0
UCF,Ind,,WR,33.0,162.0,2249.0,13.9,14.0,1.0,2.0,2.0,0.0,163.0,2251.0,13.8,14.0,22,73.0,202.0,4.56,35.5,,125.0,7.3,805.0
,,,,,,,,,,,,,,,,,0,,,,,,,,0.0
Oklahoma State,Big 12,,WR,22.0,43.0,847.0,19.7,6.0,0.0,0.0,0.0,0.0,43.0,847.0,19.7,6.0,0,71.0,186.0,4.56,,16.0,,6.98,0.0
