0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
980.0,345.0,627.0,155.0,234.0,631.0,778.0,238.0,369.0,,,,,,,
2.0,0.0,277.0,725.0,274.0,726.0,54.0,,,,,,,,,
912.0,1156.0,1056.0,961.0,700.0,1332.0,1169.0,528.0,1005.0,668.0,774.0,159.0,,,,
18.0,347.0,,,,,,,,,,,,,,
64.0,5.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,717.0,561.0,381.0,375.0,243.0,,,,,,,,,,
90.0,214.0,291.0,689.0,207.0,,,,,,,,,,,
320.0,294.0,498.0,395.0,1067.0,556.0,411.0,210.0,8.0,,,,,,,
26.0,822.0,944.0,523.0,449.0,85.0,0.0,,,,,,,,,
78.0,432.0,345.0,317.0,18.0,200.0,47.0,72.0,,,,,,,,
83.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
68.0,110.0,61.0,470.0,62.0,0.0,,,,,,,,,,
172.0,253.0,,,,,,,,,,,,,,
59.0,0.0,,,,,,,,,,,,,,
0.0,0.0,0.0,46.0,0.0,0.0,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
319.0,527.0,698.0,220.0,510.0,214.0,70.0,,,,,,,,,
0.0,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,
23.0,765.0,784.0,947.0,633.0,1346.0,752.0,777.0,1041.0,500.0,286.0,,,,,
0.0,,,,,,,,,,,,,,,
0.0,72.0,15.0,,,,,,,,,,,,,
102.0,10.0,1073.0,1004.0,1046.0,597.0,435.0,497.0,,,,,,,,
226.0,365.0,40.0,271.0,289.0,,,,,,,,,,,
79.0,31.0,0.0,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
756.0,1331.0,984.0,1120.0,1681.0,1964.0,1492.0,1077.0,1214.0,,,,,,,
420.0,790.0,454.0,163.0,220.0,1.0,556.0,190.0,739.0,752.0,787.0,209.0,421.0,,,
995.0,1022.0,589.0,1162.0,1159.0,801.0,673.0,754.0,53.0,,,,,,,
289.0,722.0,638.0,620.0,207.0,324.0,114.0,,,,,,,,,
188.0,59.0,52.0,259.0,,,,,,,,,,,,
