year,round,pick,player,nfl_url,pos,draft_age,draft_team,entry_year,last_year,first_team_all_pro_select,pro_bowl_select,years_as_primary_starter,weighted_career_av,games,games_started,rushes,rushing_yards,rushing_td,receptions,rec_yards,rec_td,college,cfb_url,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,cfb_table_name,nfl_yards_per_year,nfl_yards,nfl_table_name
2020,2,59,Denzel Mims ,https://www.pro-football-reference.com/players/M/MimsDe00.htm,WR,22,NYJ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baylor,https://www.sports-reference.com/cfb/players/denzel-mims-1.html,Baylor,Big 12,SR,WR,40.0,186.0,2925.0,15.7,28.0,1.0,-6.0,-6.0,0.0,187.0,2919.0,15.6,28.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,3,80,Lynn Bowden Jr.,https://www.pro-football-reference.com/players/B/BowdLy00.htm,WR,22,LVR,2020,2020,0,0,0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,-1.0,0.0,Kentucky,https://www.sports-reference.com/cfb/players/lynn-bowden-jr-1.html,Kentucky,SEC,JR,WR,38.0,114.0,1303.0,11.4,6.0,206.0,1530.0,7.4,13.0,320.0,2833.0,8.9,19.0,receiving & rushing table inverted,[-1.0],-1.0,receiving & rushing table
2020,3,81,Bryan Edwards ,https://www.pro-football-reference.com/players/E/EdwaBr01.htm,WR,21,LVR,2020,2020,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,99.0,0.0,South Carolina,https://www.sports-reference.com/cfb/players/bryan-edwards-1.html,South Carolina,SEC,SR,WR,48.0,234.0,3045.0,13.0,22.0,6.0,41.0,6.8,0.0,240.0,3086.0,12.9,22.0,receiving & rushing table,[99.0],99.0,receiving & rushing table
2020,3,92,Devin Duvernay ,https://www.pro-football-reference.com/players/D/DuveDe00.htm,WR,22,BAL,2020,2020,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,42.0,0.0,Texas,https://www.sports-reference.com/cfb/players/devin-duvernay-1.html,Texas,Big 12,SR,WR,45.0,176.0,2468.0,14.0,16.0,11.0,34.0,3.1,1.0,187.0,2502.0,13.4,17.0,receiving & rushing table,[42.0],42.0,receiving & rushing table
2020,4,128,Gabriel Davis,https://www.pro-football-reference.com/players/D/DaviGa01.htm,WR,21,BUF,2020,2020,0,0,0,0.0,4.0,1.0,1.0,0.0,0.0,8.0,129.0,2.0,Central Florida,https://www.sports-reference.com/cfb/players/gabriel-davis-1.html,UCF,American,JR,WR,34.0,152.0,2447.0,16.1,23.0,0.0,0.0,0.0,0.0,152.0,2447.0,16.1,23.0,receiving & rushing table,[129.0],129.0,receiving & rushing table
2020,4,142,Antonio Gandy-Golden,https://www.pro-football-reference.com/players/G/GandAn00.htm,WR,22,WAS,2020,2020,0,0,0,0.0,3.0,0.0,1.0,22.0,0.0,1.0,3.0,0.0,Liberty,https://www.sports-reference.com/cfb/players/antonio-gandy-golden-1.html,Liberty,Ind,SR,WR,24.0,150.0,2433.0,16.2,20.0,0.0,0.0,0.0,0.0,150.0,2433.0,16.2,20.0,receiving & rushing table,[nan],,unexpected error
2020,5,151,Joe Reed,https://www.pro-football-reference.com/players/R/ReedJo03.htm,WR,22,LAC,2020,2020,0,0,0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,Virginia,https://www.sports-reference.com/cfb/players/joe-reed-4.html,Virginia,ACC,SR,WR,47.0,129.0,1465.0,11.4,16.0,34.0,172.0,5.1,1.0,163.0,1637.0,10.0,17.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,5,161,Tyler Johnson,https://www.pro-football-reference.com/players/J/JohnTy00.htm,WR,22,TAM,2020,2020,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,https://www.sports-reference.com/cfb/players/tyler-johnson-6.html,Minnesota,Big Ten,SR,WR,43.0,213.0,3305.0,15.5,33.0,1.0,-1.0,-1.0,0.0,214.0,3304.0,15.4,33.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,5,165,Collin Johnson,https://www.pro-football-reference.com/players/J/JohnCo01.htm,WR,22,JAX,2020,2020,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,Texas,https://www.sports-reference.com/cfb/players/collin-johnson-2.html,Texas,Big 12,SR,WR,42.0,188.0,2624.0,14.0,15.0,0.0,-7.0,0.0,0.0,188.0,2617.0,13.9,15.0,receiving & rushing table,[17.0],17.0,receiving & rushing table
2020,5,166,Quintez Cephus,https://www.pro-football-reference.com/players/C/CephQu00.htm,WR,22,DET,2020,2020,0,0,0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,97.0,0.0,Wisconsin,https://www.sports-reference.com/cfb/players/quintez-cephus-1.html,Wisconsin,Big Ten,,WR,30.0,93.0,1496.0,16.1,13.0,9.0,46.0,5.1,0.0,102.0,1542.0,15.1,13.0,receiving & rushing table,[97.0],97.0,receiving & rushing table
2020,5,168,John Hightower,https://www.pro-football-reference.com/players/H/HighJo00.htm,WR,24,PHI,2020,2020,0,0,0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,39.0,0.0,Boise St.,https://www.sports-reference.com/cfb/players/john-hightower-1.html,Boise State,MWC,SR,WR,23.0,82.0,1447.0,17.6,14.0,24.0,317.0,13.2,2.0,106.0,1764.0,16.6,16.0,receiving & rushing table,[39.0],39.0,receiving & rushing table
2020,5,171,Isaiah Coulter,https://www.pro-football-reference.com/players/C/CoulIs00.htm,WR,0,HOU,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhode Island,cfb link is missing,,,,,,,,,,,,,,,,,,cfb link is missing,[0.0],0,receiving & rushing table
2020,5,173,Darnell Mooney,https://www.pro-football-reference.com/players/M/MoonDa00.htm,WR,22,CHI,2020,2020,0,0,0,0.0,4.0,1.0,1.0,-3.0,0.0,13.0,145.0,1.0,Tulane,https://www.sports-reference.com/cfb/players/darnell-mooney-1.html,Tulane,American,SR,WR,46.0,154.0,2572.0,16.7,19.0,5.0,28.0,5.6,0.0,159.0,2600.0,16.4,19.0,receiving & rushing table,[145.0],145.0,receiving & rushing table
