year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
1996,2,34,Amani Toomer,https://www.pro-football-reference.com/players/T/ToomAm00.htm,WR,21.0,NYG,1996.0,2008.0,0,0,10,66.0,190.0,141.0,12.0,110.0,1.0,668.0,9497.0,54.0,Michigan,https://www.sports-reference.com/cfb/players/amani-toomer-1.html,Michigan,Big Ten,,WR,48.0,138,2522,18.3,16,2,28,14.0,0,140,2550,18.2,16,34,NYG,WR,81,190,141,1239,668,9497,14.2,54,478,82,3.5,50.0,53.9%,7.7,12,110,1,5,28,9.2,0.6,0.1,680,14.1,9607,55,6,85,Receiving & Rushing Table,success,success from main
1996,2,41,Bryan Still,https://www.pro-football-reference.com/players/S/StilBr00.htm,WR,22.0,SDG,1996.0,1999.0,0,0,1,8.0,52.0,14.0,,,,83.0,1181.0,2.0,Virginia Tech,https://www.sports-reference.com/cfb/players/bryan-still-1.html,Virginia Tech,Big East,,WR,34.0,74,1458,19.7,11,8,53,6.6,0,82,1511,18.4,11,,SDG,,80,52,14,167,83,1181,14.2,2,50,67,1.6,22.7,49.7%,7.1,,,,,,,,,83,14.2,1181,2,2,8,Receiving & Rushing Table,success,success from main
1996,2,43,Muhsin Muhammad,https://www.pro-football-reference.com/players/M/MuhaMu00.htm,WR,23.0,CAR,1996.0,2009.0,1,2,12,81.0,202.0,188.0,11.0,64.0,0.0,860.0,11438.0,62.0,Michigan St.,https://www.sports-reference.com/cfb/players/muhsin-muhammad-1.html,Michigan State,Big Ten,,WR,36.0,69,1140,16.5,5,1,35,35.0,0,70,1175,16.8,5,36,CAR,WR,87,202,188,1521,860,11438,13.3,62,568,72,4.3,56.6,56.5%,7.5,11,64,0,4,20,5.8,0.3,0.1,871,13.2,11502,62,15,106,Receiving & Rushing Table,success,success from main
1996,2,52,Bobby Engram,https://www.pro-football-reference.com/players/E/EngrBo00.htm,WR,23.0,CHI,1996.0,2009.0,0,0,6,53.0,176.0,113.0,5.0,19.0,0.0,650.0,7751.0,35.0,Penn St.,https://www.sports-reference.com/cfb/players/bobby-engram-1.html,Penn State,Big Ten,,WR,45.0,167,3026,18.1,31,11,155,14.1,1,178,3181,17.9,32,36,KAN,,84,176,113,1031,650,7751,11.9,35,424,79,3.7,44.0,63.0%,7.5,5,19,0,2,9,3.8,0.1,0.0,655,11.9,7770,35,19,67,Receiving & Rushing Table,success,success from main
1996,2,56,Derrick Mayes,https://www.pro-football-reference.com/players/M/MayeDe00.htm,WR,22.0,GNB,1996.0,2000.0,0,0,1,16.0,58.0,32.0,,,,145.0,1823.0,16.0,Notre Dame,https://www.sports-reference.com/cfb/players/derrick-mayes-1.html,Notre Dame,Ind,,WR,44.0,129,2512,19.5,22,3,17,5.7,0,132,2529,19.2,22,26,SEA,,87,58,32,245,145,1823,12.6,16,96,74,2.5,31.4,59.2%,7.4,,,,,,,,,145,12.6,1823,16,2,17,Receiving & Rushing Table,success,success from main
1996,3,89,Terrell Owens HOF,https://www.pro-football-reference.com/players/O/OwenTe00.htm,WR,22.0,SFO,1996.0,2010.0,5,6,13,119.0,219.0,201.0,39.0,251.0,3.0,1078.0,15934.0,153.0,Tenn-Chattanooga,https://www.sports-reference.com/cfb/players/terrell-owens-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,37,CIN,WR,81,219,201,1867,1078,15934,14.8,153,747,98,4.9,72.8,57.7%,8.5,39,251,3,12,38,6.4,1.1,0.2,1117,14.5,16185,156,11,165,Receiving & Rushing Table,fail (eg link broken),success from main
1996,3,94,Stepfret Williams,https://www.pro-football-reference.com/players/W/WillSt00.htm,WR,23.0,DAL,1996.0,1998.0,0,0,0,3.0,26.0,0.0,,,,37.0,421.0,2.0,La-Monroe,https://www.sports-reference.com/cfb/players/stepfret-williams-1.html,Louisiana-Monroe,Ind,,WR,22.0,123,2162,17.6,22,5,0,0.0,0,128,2162,16.9,22,25,CIN,,87,26,,65,37,421,11.4,2,27,32,1.4,16.2,56.9%,6.5,,,,,,,,,37,11.4,421,2,0,3,Receiving & Rushing Table,success,success from main
1996,4,110,Reggie Barlow,https://www.pro-football-reference.com/players/B/BarlRe00.htm,WR,23.0,JAX,1996.0,2003.0,0,0,0,8.0,82.0,5.0,,,,39.0,522.0,1.0,Alabama St.,https://www.sports-reference.com/cfb/players/reggie-barlow-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,30,TAM,,84,82,5,77,39,522,13.4,1,22,31,0.5,6.4,50.6%,6.8,,,,,,,,,39,13.4,522,1,8,,Receiving & Rushing Table,fail (eg link broken),success from main1
1996,4,114,Charlie Jones,https://www.pro-football-reference.com/players/J/JoneCh00.htm,WR,23.0,SDG,1996.0,1999.0,0,0,2,13.0,54.0,27.0,9.0,73.0,0.0,129.0,1736.0,9.0,Fresno St.,https://www.sports-reference.com/cfb/players/charlie-jones-4.html,Fresno State,WAC,,WR,50.0,187,3344,17.9,25,22,233,10.6,2,209,3577,17.1,27,27,SDG,,82,54,27,280,129,1736,13.5,9,75,63,2.4,32.1,46.1%,6.2,9,73,0,5,17,8.1,1.4,0.2,138,13.1,1809,9,2,14,Receiving & Rushing Table,success,success from main
1996,4,132,Jahine Arnold,https://www.pro-football-reference.com/players/A/ArnoJa00.htm,WR,23.0,PIT,1996.0,1999.0,0,0,0,1.0,13.0,0.0,1.0,-3.0,0.0,6.0,76.0,0.0,Fresno St.,https://www.sports-reference.com/cfb/players/jahine-arnold-1.html,Fresno State,WAC,,WR,22.0,57,1014,17.8,4,1,0,0.0,0,58,1014,17.5,4,25,PIT,,80,13,,21,6,76,12.7,0,3,26,0.5,5.8,28.6%,3.6,1,-3,0,0,0,-3.0,-0.2,0.1,7,10.4,73,0,1,,Receiving & Rushing Table,success,success from main1
